,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,AdapterRemoval,100000000,120,-20,0.01,1,0.7943282347242815,153414,24144468,24297882,0.9936861163454493,0.9936446080097603,0.9937274312574296,0.027507780441235925,0.027327215723665612,0.0276891980676475
1,AdapterRemoval,100000000,120,-20,0.01,2,0.6309573444801932,109016877,110296200,219313077,0.5029166591830728,0.50282969125421,0.5030036269855014,2.985039780767261,2.9842888338520552,2.9857908586446094
2,AdapterRemoval,100000000,120,-20,0.01,3,0.5011872336272722,20121540,16378867,36500407,0.4487310785329051,0.44851901919407433,0.4489431512352906,3.480138507523391,3.47808649348383,3.4821913621876224
3,AdapterRemoval,100000000,120,-20,0.01,4,0.3981071705534972,30994336,17962610,48956946,0.36690626086030775,0.36672883585825033,0.36708371172689414,4.354448774130775,4.352348856242326,4.356549401573276
4,AdapterRemoval,100000000,120,-20,0.01,5,0.31622776601683794,36853464,15001386,51854850,0.28929571679408966,0.28913353133904485,0.28945794090775856,5.386579963086785,5.384145316210499,5.389015394913379
5,AdapterRemoval,100000000,120,-20,0.01,6,0.251188643150958,30644896,9392433,40037329,0.23459189797601135,0.23441941763920293,0.23476444138231078,6.296869910485855,6.293676828968188,6.3000641729437366
6,AdapterRemoval,100000000,120,-20,0.01,7,0.19952623149688797,24635459,5269768,29905227,0.17621561608611097,0.1760361888810742,0.17639514630404707,7.5395560739099,7.535133691042553,7.543980423235659
7,AdapterRemoval,100000000,120,-20,0.01,8,0.15848931924611134,12142550,2058845,14201395,0.14497484226021456,0.14473427518456095,0.1452156472077244,8.387073551133263,8.379865852210063,8.394286094419336
8,AdapterRemoval,100000000,120,-20,0.01,9,0.12589254117941673,34253527,4424307,38677834,0.11438869611984993,0.11425690521116172,0.11452058188642333,9.416168903623062,9.411164539667093,9.421175435164779
9,AdapterRemoval,100000000,120,-20,0.01,10,0.1,32884494,3006109,35890603,0.0837575506881286,0.08363848311843569,0.08387672860541662,10.769760311642573,10.763585164079533,10.775938522205406
10,AdapterRemoval,100000000,120,-20,0.01,11,0.07943282347242814,27956069,2076123,30032192,0.06912991898826433,0.0690107363146909,0.0692492381736537,11.603339520568172,11.595850000078933,11.610833388351075
11,AdapterRemoval,100000000,120,-20,0.01,12,0.06309573444801933,49574681,2774838,52349519,0.05300598845998948,0.05292625738400902,0.05308580077934544,12.756750623197735,12.750216270884199,12.763288155296166
12,AdapterRemoval,100000000,120,-20,0.01,13,0.05011872336272722,90582756,3190326,93773082,0.034021767568650454,0.033973564443865345,0.03407001797379716,14.682431267795995,14.67627637317979,14.688588853616082
13,AdapterRemoval,100000000,120,-20,0.01,14,0.039810717055349734,35228595,1909793,37138388,0.051423691302918156,0.05133038336561413,0.05151711416853111,12.888367519842983,12.880484728179846,12.896254921594783
14,AdapterRemoval,100000000,120,-20,0.01,15,0.03162277660168379,20907163,564162,21471325,0.026275136723048067,0.02618630272846878,0.026364180685220506,15.804550154363202,15.789857206123031,15.819258157395
15,AdapterRemoval,100000000,120,-20,0.01,16,0.025118864315095794,73585972,1370306,74956278,0.018281403993938974,0.018241570274667662,0.01832129886555911,17.37990453930101,17.370437408128545,17.38937779369992
16,AdapterRemoval,100000000,120,-20,0.01,17,0.0199526231496888,4918701,379279,5297980,0.07158936047323697,0.07130114395631404,0.07187834660634507,11.451515172327426,11.434019213794151,11.469035022669388
17,AdapterRemoval,100000000,120,-20,0.01,18,0.015848931924611134,808161772,13006152,821167924,0.015838602093279034,0.015827381709736077,0.01584982808623847,18.00283151658498,17.999754439574534,18.00590923612895
18,AdapterRemoval,100000000,120,-20,0.01,19,0.012589254117941675,2716694,31628,2748322,0.011508112950374811,0.011343057821223135,0.011674861556066785,19.389958842266385,19.327482607226845,19.45269854096578
19,AdapterRemoval,100000000,120,-20,0.01,20,0.01,6427654,56965,6484619,0.008784633299196144,0.008690527714135032,0.008879460336668754,20.56276362735508,20.516134283575354,20.609538511257423
20,AdapterRemoval,100000000,120,-20,0.01,21,0.007943282347242814,6437256,43622,6480878,0.006730878131018667,0.006648431830189372,0.006814049435288627,21.71928272688723,21.665947199910377,21.772807799312833
21,AdapterRemoval,100000000,120,-20,0.01,22,0.00630957344480193,23365054,126786,23491840,0.005397022966272544,0.005358165007464999,0.005436081370804646,22.678457338517376,22.64714051088374,22.70983916198493
22,AdapterRemoval,100000000,120,-20,0.01,23,0.005011872336272725,10339032,46668,10385700,0.00449348623588203,0.004440207025220966,0.004547219894706966,23.47416584270356,23.422540436509017,23.525967803774932
23,AdapterRemoval,100000000,120,-20,0.01,24,0.003981071705534973,35020082,123951,35144033,0.0035269429663920475,0.0035012372778316925,0.0035527831494905904,24.526015631795435,24.494312996465307,24.557784562269347
24,AdapterRemoval,100000000,120,-20,0.01,25,0.0031622776601683794,16473480,45519,16518999,0.002755554377114497,0.002722444937718893,0.0027889505400436887,25.59791014343553,25.54559187554161,25.650408952220204
