program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
bbmerge,gen_n1000000_l84_merged.fq,1000000,84,999906,980691,19215,0,22907,957784,1.921,0.0,2.291,95.778,22907,
bbmerge,gen_n1000000_l85_merged.fq,1000000,85,999916,981218,18698,0,23725,957493,1.87,0.0,2.373,95.749,23725,
bbmerge,gen_n1000000_l86_merged.fq,1000000,86,999921,978665,21256,0,23980,954685,2.126,0.0,2.398,95.469,23980,
bbmerge,gen_n1000000_l87_merged.fq,1000000,87,999935,979576,20359,0,24442,955134,2.036,0.0,2.444,95.513,24442,
bbmerge,gen_n1000000_l88_merged.fq,1000000,88,999924,980440,19484,0,24626,955814,1.948,0.0,2.463,95.581,24626,
bbmerge,gen_n1000000_l89_merged.fq,1000000,89,999911,981426,18485,0,24686,956740,1.849,0.0,2.469,95.674,24686,
bbmerge,gen_n1000000_l8_merged.fq,1000000,8,999921,0,999921,0,0,0,99.992,0.0,0.0,0.0,0,
bbmerge,gen_n1000000_l90_merged.fq,1000000,90,999923,981553,18370,0,25160,956393,1.837,0.0,2.516,95.639,25160,
bbmerge,gen_n1000000_l91_merged.fq,1000000,91,999915,979227,20688,0,25677,953550,2.069,0.0,2.568,95.355,25677,
bbmerge,gen_n1000000_l92_merged.fq,1000000,92,999916,980547,19369,0,26072,954475,1.937,0.0,2.607,95.447,26072,
bbmerge,gen_n1000000_l93_merged.fq,1000000,93,999908,982216,17692,0,26632,955584,1.769,0.0,2.663,95.558,26632,
bbmerge,gen_n1000000_l94_merged.fq,1000000,94,999916,983500,16416,0,26908,956592,1.642,0.0,2.691,95.659,26908,
bbmerge,gen_n1000000_l95_merged.fq,1000000,95,999918,983737,16181,0,27551,956186,1.618,0.0,2.755,95.619,27551,
bbmerge,gen_n1000000_l96_merged.fq,1000000,96,999915,981842,18073,0,27769,954073,1.807,0.0,2.777,95.407,27769,
bbmerge,gen_n1000000_l97_merged.fq,1000000,97,999915,982906,17009,0,28267,954639,1.701,0.0,2.827,95.464,28267,
bbmerge,gen_n1000000_l98_merged.fq,1000000,98,999919,983643,16276,0,28640,955003,1.628,0.0,2.864,95.5,28640,
bbmerge,gen_n1000000_l99_merged.fq,1000000,99,999915,985735,14180,0,29233,956502,1.418,0.0,2.923,95.65,29233,
bbmerge,gen_n1000000_l9_merged.fq,1000000,9,999911,0,999911,0,0,0,99.991,0.0,0.0,0.0,0,
