program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
leeHom,gen_n1000000_l13_merged.fq.gz,1000000,13,999925,1000000,-75,0,2830,997170,-0.007,0.0,0.283,99.717,2830,
leeHom,gen_n1000000_l140_merged.fq.gz,1000000,140,999928,999997,-69,18,65539,934440,-0.007,0.002,6.554,93.444,65557,
leeHom,gen_n1000000_l141_merged.fq.gz,1000000,141,999935,999996,-61,22,67441,932533,-0.006,0.002,6.744,93.253,67463,
leeHom,gen_n1000000_l142_merged.fq.gz,1000000,142,999939,999996,-57,12,70279,929705,-0.006,0.001,7.028,92.971,70291,
leeHom,gen_n1000000_l143_merged.fq.gz,1000000,143,999923,999997,-74,14,72285,927698,-0.007,0.001,7.229,92.77,72299,
leeHom,gen_n1000000_l144_merged.fq.gz,1000000,144,999931,999996,-65,25,74675,925296,-0.006,0.003,7.468,92.53,74700,
leeHom,gen_n1000000_l145_merged.fq.gz,1000000,145,999928,999997,-69,26,77383,922588,-0.007,0.003,7.738,92.259,77409,
leeHom,gen_n1000000_l146_merged.fq.gz,1000000,146,999929,999995,-66,32,79214,920749,-0.007,0.003,7.921,92.075,79246,
leeHom,gen_n1000000_l147_merged.fq.gz,1000000,147,999921,999989,-68,39,81944,918006,-0.007,0.004,8.194,91.801,81983,
leeHom,gen_n1000000_l148_merged.fq.gz,1000000,148,999912,999984,-72,27,84179,915778,-0.007,0.003,8.418,91.578,84206,
leeHom,gen_n1000000_l149_merged.fq.gz,1000000,149,999919,999979,-60,46,85980,913953,-0.006,0.005,8.598,91.395,86026,
leeHom,gen_n1000000_l14_merged.fq.gz,1000000,14,999918,1000000,-82,0,3119,996881,-0.008,0.0,0.312,99.688,3119,
leeHom,gen_n1000000_l150_merged.fq.gz,1000000,150,999914,999982,-68,73,88585,911324,-0.007,0.007,8.858,91.132,88658,
leeHom,gen_n1000000_l151_merged.fq.gz,1000000,151,999923,999978,-55,85,90754,909139,-0.006,0.009,9.075,90.914,90839,
leeHom,gen_n1000000_l152_merged.fq.gz,1000000,152,999920,999976,-56,91,92954,906931,-0.006,0.009,9.295,90.693,93045,
leeHom,gen_n1000000_l153_merged.fq.gz,1000000,153,999914,999984,-70,113,95821,904050,-0.007,0.011,9.582,90.405,95934,
leeHom,gen_n1000000_l154_merged.fq.gz,1000000,154,999923,999975,-52,125,97725,902125,-0.005,0.013,9.773,90.212,97850,
leeHom,gen_n1000000_l155_merged.fq.gz,1000000,155,999916,999977,-61,151,100519,899307,-0.006,0.015,10.052,89.931,100670,
leeHom,gen_n1000000_l156_merged.fq.gz,1000000,156,999920,999976,-56,165,102215,897596,-0.006,0.017,10.222,89.76,102380,
leeHom,gen_n1000000_l157_merged.fq.gz,1000000,157,999892,999981,-89,213,104505,895263,-0.009,0.021,10.45,89.526,104718,
leeHom,gen_n1000000_l158_merged.fq.gz,1000000,158,999933,999966,-33,219,106675,893072,-0.003,0.022,10.668,89.307,106894,
leeHom,gen_n1000000_l159_merged.fq.gz,1000000,159,999910,999964,-54,242,108553,891169,-0.005,0.024,10.855,89.117,108795,
leeHom,gen_n1000000_l15_merged.fq.gz,1000000,15,999906,1000000,-94,0,3251,996749,-0.009,0.0,0.325,99.675,3251,
leeHom,gen_n1000000_l160_merged.fq.gz,1000000,160,999911,999970,-59,258,111037,888675,-0.006,0.026,11.104,88.867,111295,
leeHom,gen_n1000000_l161_merged.fq.gz,1000000,161,999908,999970,-62,254,113474,886242,-0.006,0.025,11.347,88.624,113728,
leeHom,gen_n1000000_l162_merged.fq.gz,1000000,162,999910,999967,-57,319,115444,884204,-0.006,0.032,11.544,88.42,115763,
leeHom,gen_n1000000_l163_merged.fq.gz,1000000,163,999933,999964,-31,324,118021,881619,-0.003,0.032,11.802,88.162,118345,
leeHom,gen_n1000000_l164_merged.fq.gz,1000000,164,999915,999956,-41,306,119900,879750,-0.004,0.031,11.99,87.975,120206,
leeHom,gen_n1000000_l165_merged.fq.gz,1000000,165,999917,999960,-43,337,122185,877438,-0.004,0.034,12.219,87.744,122522,
leeHom,gen_n1000000_l166_merged.fq.gz,1000000,166,999915,999945,-30,338,124668,874939,-0.003,0.034,12.467,87.494,125006,
leeHom,gen_n1000000_l167_merged.fq.gz,1000000,167,999913,999950,-37,420,127243,872287,-0.004,0.042,12.724,87.229,127663,
leeHom,gen_n1000000_l168_merged.fq.gz,1000000,168,999917,999951,-34,382,129264,870305,-0.003,0.038,12.926,87.031,129646,
leeHom,gen_n1000000_l169_merged.fq.gz,1000000,169,999922,999943,-21,410,131323,868210,-0.002,0.041,13.132,86.821,131733,
leeHom,gen_n1000000_l16_merged.fq.gz,1000000,16,999917,1000000,-83,0,3510,996490,-0.008,0.0,0.351,99.649,3510,
