program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
AdapterRemoval,gen_n1000000_l139_merged.fq,1000000,139,999922,1000000,-78,44,63649,936307,-0.008,0.004,6.365,93.631,63693,
AdapterRemoval,gen_n1000000_l13_merged.fq,1000000,13,999925,1000000,-75,0,2866,997134,-0.007,0.0,0.287,99.713,2866,
AdapterRemoval,gen_n1000000_l140_merged.fq,1000000,140,999928,1000000,-72,40,65574,934386,-0.007,0.004,6.557,93.439,65614,
AdapterRemoval,gen_n1000000_l141_merged.fq,1000000,141,999935,1000000,-65,73,67560,932367,-0.006,0.007,6.756,93.237,67633,
AdapterRemoval,gen_n1000000_l142_merged.fq,1000000,142,999939,1000000,-61,78,70218,929704,-0.006,0.008,7.022,92.97,70296,
AdapterRemoval,gen_n1000000_l143_merged.fq,1000000,143,999923,1000000,-77,105,72146,927749,-0.008,0.011,7.215,92.775,72251,
AdapterRemoval,gen_n1000000_l144_merged.fq,1000000,144,999931,1000000,-69,140,74750,925110,-0.007,0.014,7.475,92.511,74890,
AdapterRemoval,gen_n1000000_l145_merged.fq,1000000,145,999928,1000000,-72,187,77340,922473,-0.007,0.019,7.734,92.247,77527,
AdapterRemoval,gen_n1000000_l146_merged.fq,1000000,146,999929,1000000,-71,221,79287,920492,-0.007,0.022,7.929,92.049,79508,
AdapterRemoval,gen_n1000000_l147_merged.fq,1000000,147,999921,1000000,-79,272,82008,917720,-0.008,0.027,8.201,91.772,82280,
AdapterRemoval,gen_n1000000_l148_merged.fq,1000000,148,999912,1000000,-88,311,84109,915580,-0.009,0.031,8.411,91.558,84420,
AdapterRemoval,gen_n1000000_l149_merged.fq,1000000,149,999919,1000000,-81,399,85898,913703,-0.008,0.04,8.59,91.37,86297,
AdapterRemoval,gen_n1000000_l14_merged.fq,1000000,14,999918,1000000,-82,0,3133,996867,-0.008,0.0,0.313,99.687,3133,
AdapterRemoval,gen_n1000000_l150_merged.fq,1000000,150,999914,1000000,-86,455,88632,910913,-0.009,0.045,8.863,91.091,89087,
AdapterRemoval,gen_n1000000_l151_merged.fq,1000000,151,999923,1000000,-77,447,90581,908972,-0.008,0.045,9.058,90.897,91028,
AdapterRemoval,gen_n1000000_l152_merged.fq,1000000,152,999920,1000000,-80,510,92769,906721,-0.008,0.051,9.277,90.672,93279,
AdapterRemoval,gen_n1000000_l153_merged.fq,1000000,153,999914,1000000,-86,609,95645,903746,-0.009,0.061,9.564,90.375,96254,
AdapterRemoval,gen_n1000000_l154_merged.fq,1000000,154,999923,1000000,-77,647,97767,901586,-0.008,0.065,9.777,90.159,98414,
AdapterRemoval,gen_n1000000_l155_merged.fq,1000000,155,999916,1000000,-84,676,100522,898802,-0.008,0.068,10.052,89.88,101198,
AdapterRemoval,gen_n1000000_l156_merged.fq,1000000,156,999920,1000000,-80,734,102178,897088,-0.008,0.073,10.218,89.709,102912,
AdapterRemoval,gen_n1000000_l157_merged.fq,1000000,157,999892,1000000,-108,825,104354,894821,-0.011,0.083,10.435,89.482,105179,
AdapterRemoval,gen_n1000000_l158_merged.fq,1000000,158,999933,1000000,-67,927,106729,892344,-0.007,0.093,10.673,89.234,107656,
AdapterRemoval,gen_n1000000_l159_merged.fq,1000000,159,999910,1000000,-90,1096,108435,890469,-0.009,0.11,10.844,89.047,109531,
AdapterRemoval,gen_n1000000_l15_merged.fq,1000000,15,999906,1000000,-94,0,3256,996744,-0.009,0.0,0.326,99.674,3256,
AdapterRemoval,gen_n1000000_l160_merged.fq,1000000,160,999911,1000000,-89,1172,110996,887832,-0.009,0.117,11.1,88.783,112168,
AdapterRemoval,gen_n1000000_l161_merged.fq,1000000,161,999908,1000000,-92,1265,113458,885277,-0.009,0.127,11.346,88.528,114723,
AdapterRemoval,gen_n1000000_l162_merged.fq,1000000,162,999910,1000000,-90,1478,115402,883120,-0.009,0.148,11.54,88.312,116880,
AdapterRemoval,gen_n1000000_l163_merged.fq,1000000,163,999933,1000000,-67,1640,117620,880740,-0.007,0.164,11.762,88.074,119260,
AdapterRemoval,gen_n1000000_l164_merged.fq,1000000,164,999915,1000000,-85,1785,119685,878530,-0.009,0.178,11.969,87.853,121470,
AdapterRemoval,gen_n1000000_l165_merged.fq,1000000,165,999917,1000000,-83,2066,121966,875968,-0.008,0.207,12.197,87.597,124032,
AdapterRemoval,gen_n1000000_l166_merged.fq,1000000,166,999915,1000000,-85,2328,124391,873281,-0.009,0.233,12.439,87.328,126719,
AdapterRemoval,gen_n1000000_l167_merged.fq,1000000,167,999913,1000000,-87,2771,127074,870155,-0.009,0.277,12.707,87.016,129845,
AdapterRemoval,gen_n1000000_l168_merged.fq,1000000,168,999917,1000000,-83,2851,129063,868086,-0.008,0.285,12.906,86.809,131914,
AdapterRemoval,gen_n1000000_l169_merged.fq,1000000,169,999922,1000000,-78,3052,131073,865875,-0.008,0.305,13.107,86.587,134125,
AdapterRemoval,gen_n1000000_l16_merged.fq,1000000,16,999917,1000000,-83,0,3542,996458,-0.008,0.0,0.354,99.646,3542,
AdapterRemoval,gen_n1000000_l170_merged.fq,1000000,170,999923,1000000,-77,3456,133590,862954,-0.008,0.346,13.359,86.295,137046,
AdapterRemoval,gen_n1000000_l171_merged.fq,1000000,171,999914,1000000,-86,3743,135803,860454,-0.009,0.374,13.58,86.045,139546,
AdapterRemoval,gen_n1000000_l172_merged.fq,1000000,172,999922,1000000,-78,4002,138478,857520,-0.008,0.4,13.848,85.752,142480,
AdapterRemoval,gen_n1000000_l173_merged.fq,1000000,173,999927,1000000,-73,4492,140498,855010,-0.007,0.449,14.05,85.501,144990,
AdapterRemoval,gen_n1000000_l174_merged.fq,1000000,174,999914,1000000,-86,4977,142107,852916,-0.009,0.498,14.211,85.292,147084,
AdapterRemoval,gen_n1000000_l175_merged.fq,1000000,175,999925,1000000,-75,5466,144219,850315,-0.007,0.547,14.422,85.032,149685,
AdapterRemoval,gen_n1000000_l176_merged.fq,1000000,176,999930,1000000,-70,5904,147076,847020,-0.007,0.59,14.708,84.702,152980,
AdapterRemoval,gen_n1000000_l177_merged.fq,1000000,177,999920,1000000,-80,6195,149112,844693,-0.008,0.62,14.911,84.469,155307,
AdapterRemoval,gen_n1000000_l178_merged.fq,1000000,178,999916,1000000,-84,6578,151392,842030,-0.008,0.658,15.139,84.203,157970,
AdapterRemoval,gen_n1000000_l179_merged.fq,1000000,179,999920,1000000,-80,7356,153572,839072,-0.008,0.736,15.357,83.907,160928,
AdapterRemoval,gen_n1000000_l17_merged.fq,1000000,17,999905,1000000,-95,0,3711,996289,-0.009,0.0,0.371,99.629,3711,
AdapterRemoval,gen_n1000000_l180_merged.fq,1000000,180,999915,1000000,-85,7836,155532,836632,-0.009,0.784,15.553,83.663,163368,
AdapterRemoval,gen_n1000000_l181_merged.fq,1000000,181,999924,1000000,-76,8235,158353,833412,-0.008,0.823,15.835,83.341,166588,
AdapterRemoval,gen_n1000000_l182_merged.fq,1000000,182,999910,1000000,-90,8591,160376,831033,-0.009,0.859,16.038,83.103,168967,
AdapterRemoval,gen_n1000000_l183_merged.fq,1000000,183,999924,1000000,-76,9217,162121,828662,-0.008,0.922,16.212,82.866,171338,
AdapterRemoval,gen_n1000000_l184_merged.fq,1000000,184,999926,1000000,-74,9857,164772,825371,-0.007,0.986,16.477,82.537,174629,
AdapterRemoval,gen_n1000000_l185_merged.fq,1000000,185,999927,1000000,-73,10503,167126,822371,-0.007,1.05,16.713,82.237,177629,
AdapterRemoval,gen_n1000000_l186_merged.fq,1000000,186,999915,1000000,-85,11062,169521,819417,-0.009,1.106,16.952,81.942,180583,
AdapterRemoval,gen_n1000000_l187_merged.fq,1000000,187,999925,1000000,-75,11610,171686,816704,-0.007,1.161,17.169,81.67,183296,
AdapterRemoval,gen_n1000000_l188_merged.fq,1000000,188,999917,1000000,-83,12206,173798,813996,-0.008,1.221,17.38,81.4,186004,
AdapterRemoval,gen_n1000000_l189_merged.fq,1000000,189,999930,1000000,-70,12907,175417,811676,-0.007,1.291,17.542,81.168,188324,
AdapterRemoval,gen_n1000000_l18_merged.fq,1000000,18,999914,1000000,-86,0,3848,996152,-0.009,0.0,0.385,99.615,3848,
AdapterRemoval,gen_n1000000_l190_merged.fq,1000000,190,999924,1000000,-76,13597,178525,807878,-0.008,1.36,17.852,80.788,192122,
AdapterRemoval,gen_n1000000_l191_merged.fq,1000000,191,999921,1000000,-79,14051,180770,805179,-0.008,1.405,18.077,80.518,194821,
AdapterRemoval,gen_n1000000_l192_merged.fq,1000000,192,999907,1000000,-93,14874,183974,801152,-0.009,1.487,18.397,80.115,198848,
AdapterRemoval,gen_n1000000_l193_merged.fq,1000000,193,999920,1000000,-80,15168,185102,799730,-0.008,1.517,18.51,79.973,200270,
AdapterRemoval,gen_n1000000_l194_merged.fq,1000000,194,999925,999999,-74,16022,186672,797305,-0.007,1.602,18.667,79.731,202694,
AdapterRemoval,gen_n1000000_l195_merged.fq,1000000,195,999921,1000000,-79,16899,190011,793090,-0.008,1.69,19.001,79.309,206910,
AdapterRemoval,gen_n1000000_l196_merged.fq,1000000,196,999940,999999,-59,17533,192831,789635,-0.006,1.753,19.283,78.963,210364,
AdapterRemoval,gen_n1000000_l197_merged.fq,1000000,197,999919,999999,-80,17952,195260,786787,-0.008,1.795,19.526,78.679,213212,
AdapterRemoval,gen_n1000000_l198_merged.fq,1000000,198,999913,999999,-86,18480,197440,784079,-0.009,1.848,19.744,78.408,215920,
AdapterRemoval,gen_n1000000_l199_merged.fq,1000000,199,999921,999990,-69,19398,200118,780474,-0.007,1.94,20.012,78.047,219516,
AdapterRemoval,gen_n1000000_l19_merged.fq,1000000,19,999898,1000000,-102,0,4042,995958,-0.01,0.0,0.404,99.596,4042,
AdapterRemoval,gen_n1000000_l1_merged.fq,1000000,1,999924,1000000,-76,0,459,999541,-0.008,0.0,0.046,99.954,459,
AdapterRemoval,gen_n1000000_l200_merged.fq,1000000,200,999912,999990,-78,20068,202069,777853,-0.008,2.007,20.207,77.785,222137,
AdapterRemoval,gen_n1000000_l201_merged.fq,1000000,201,999934,999985,-51,20308,204614,775063,-0.005,2.031,20.461,77.506,224922,
AdapterRemoval,gen_n1000000_l202_merged.fq,1000000,202,999919,999977,-58,20889,207518,771570,-0.006,2.089,20.752,77.157,228407,
AdapterRemoval,gen_n1000000_l203_merged.fq,1000000,203,999910,999957,-47,21673,210126,768158,-0.005,2.167,21.013,76.816,231799,
AdapterRemoval,gen_n1000000_l204_merged.fq,1000000,204,999907,999936,-29,22100,212631,765205,-0.003,2.21,21.263,76.52,234731,
AdapterRemoval,gen_n1000000_l205_merged.fq,1000000,205,999929,999914,15,22654,215595,761665,0.002,2.265,21.559,76.166,238249,
