program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
ClipAndMerge,gen_n1000000_l13_merged.fq,1000000,13,999925,966222,33703,22,15,966185,3.37,0.002,0.002,96.618,37,
ClipAndMerge,gen_n1000000_l140_merged.fq,1000000,140,999928,912996,86932,1119,73432,838445,8.693,0.112,7.343,83.844,74551,
ClipAndMerge,gen_n1000000_l141_merged.fq,1000000,141,999935,910312,89623,1151,74890,834271,8.962,0.115,7.489,83.427,76041,
ClipAndMerge,gen_n1000000_l142_merged.fq,1000000,142,999939,906705,93234,1152,76668,828885,9.323,0.115,7.667,82.888,77820,
ClipAndMerge,gen_n1000000_l143_merged.fq,1000000,143,999923,905535,94388,1190,78392,825953,9.439,0.119,7.839,82.595,79582,
ClipAndMerge,gen_n1000000_l144_merged.fq,1000000,144,999931,902404,97527,1144,79787,821473,9.753,0.114,7.979,82.147,80931,
ClipAndMerge,gen_n1000000_l145_merged.fq,1000000,145,999928,899465,100463,1256,81678,816531,10.046,0.126,8.168,81.653,82934,
ClipAndMerge,gen_n1000000_l146_merged.fq,1000000,146,999929,896425,103504,1296,82784,812345,10.35,0.13,8.278,81.234,84080,
ClipAndMerge,gen_n1000000_l147_merged.fq,1000000,147,999921,894621,105300,1260,84785,808576,10.53,0.126,8.479,80.858,86045,
ClipAndMerge,gen_n1000000_l148_merged.fq,1000000,148,999912,891546,108366,1279,86378,803889,10.837,0.128,8.638,80.389,87657,
ClipAndMerge,gen_n1000000_l149_merged.fq,1000000,149,999919,889785,110134,1301,87594,800890,11.013,0.13,8.759,80.089,88895,
ClipAndMerge,gen_n1000000_l14_merged.fq,1000000,14,999918,963804,36114,70,14,963720,3.611,0.007,0.001,96.372,84,
ClipAndMerge,gen_n1000000_l150_merged.fq,1000000,150,999914,886476,113438,1357,89347,795772,11.344,0.136,8.935,79.577,90704,
ClipAndMerge,gen_n1000000_l151_merged.fq,1000000,151,999923,884678,115245,1383,90552,792743,11.524,0.138,9.055,79.274,91935,
ClipAndMerge,gen_n1000000_l152_merged.fq,1000000,152,999920,881291,118629,1414,92042,787835,11.863,0.141,9.204,78.783,93456,
ClipAndMerge,gen_n1000000_l153_merged.fq,1000000,153,999914,878944,120970,1530,93879,783535,12.097,0.153,9.388,78.353,95409,
ClipAndMerge,gen_n1000000_l154_merged.fq,1000000,154,999923,876538,123385,1514,95319,779705,12.338,0.151,9.532,77.971,96833,
ClipAndMerge,gen_n1000000_l155_merged.fq,1000000,155,999916,874421,125495,1646,97539,775236,12.55,0.165,9.754,77.524,99185,
ClipAndMerge,gen_n1000000_l156_merged.fq,1000000,156,999920,871782,128138,1637,98045,772100,12.814,0.164,9.804,77.21,99682,
ClipAndMerge,gen_n1000000_l157_merged.fq,1000000,157,999892,869805,130087,1722,99732,768351,13.009,0.172,9.973,76.835,101454,
ClipAndMerge,gen_n1000000_l158_merged.fq,1000000,158,999933,866825,133108,1663,101240,763922,13.311,0.166,10.124,76.392,102903,
ClipAndMerge,gen_n1000000_l159_merged.fq,1000000,159,999910,863746,136164,1634,102167,759945,13.616,0.163,10.217,75.995,103801,
ClipAndMerge,gen_n1000000_l15_merged.fq,1000000,15,999906,961514,38392,136,15,961363,3.839,0.014,0.002,96.136,151,
ClipAndMerge,gen_n1000000_l160_merged.fq,1000000,160,999911,861563,138348,1870,103872,755821,13.835,0.187,10.387,75.582,105742,
ClipAndMerge,gen_n1000000_l161_merged.fq,1000000,161,999908,859068,140840,1762,105800,751506,14.084,0.176,10.58,75.151,107562,
ClipAndMerge,gen_n1000000_l162_merged.fq,1000000,162,999910,856641,143269,1843,106971,747827,14.327,0.184,10.697,74.783,108814,
