predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
2,leeHom,10000000,120,-30,1,802757,4105125,4907882,0.7756772664454232
3,leeHom,10000000,120,-30,3,61146868,65909136,127056004,2.850495738194774
4,leeHom,10000000,120,-30,4,8324444,5721939,14046383,3.900212824638327
5,leeHom,10000000,120,-30,5,20918616,8783876,29702492,5.291066912695759
6,leeHom,10000000,120,-30,6,13044466,4299712,17344178,6.057143549878006
7,leeHom,10000000,120,-30,9,73228028,9939084,83167112,9.226052597046856
8,leeHom,10000000,120,-30,1,98051,265389,363440,1.3654980579927005
9,leeHom,10000000,120,-30,5,803113,406592,1209705,4.735206463756045
10,leeHom,10000000,120,-30,2,3612259,4670483,8282742,2.4881233804672744
11,leeHom,10000000,120,-30,11,441671,36875,478546,11.131916614776793
12,leeHom,10000000,120,-30,12,9979378,637219,10616597,12.216966153891587
13,leeHom,10000000,120,-30,13,1238227,66525,1304752,12.925430880165054
14,leeHom,10000000,120,-30,14,20730624,858275,21588899,14.0060403206573
15,leeHom,10000000,120,-30,15,9236914,268676,9505590,15.487502041730137
16,leeHom,10000000,120,-30,16,843455,23435,866890,15.680990353249298
17,leeHom,10000000,120,-30,17,17271831,362185,17634016,16.8742077059326
18,leeHom,10000000,120,-30,18,26179443,409490,26588933,18.12457609185331
19,leeHom,10000000,120,-30,19,255938456,3027863,258966319,19.321070626847114
