program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length_reads,divergent_reads,average_divergence,dropped_reads_percentage,incorrect_length_percentage,divergent_reads_percentage,average_divergence_percentage,perfectly_reconstructed,perfectly_reconstructed_percentage
AdapterRemoval,gen_n1000000_l26_ar2.collapsed.gz,1000000,26,1000000,1000000,0,0,5564,0.005579,0.0,0.0,0.556,0.021,994436,99.444
AdapterRemoval,gen_n1000000_l27_ar2.collapsed.gz,1000000,27,1000000,1000000,0,0,5747,0.005768,0.0,0.0,0.575,0.021,994253,99.425
AdapterRemoval,gen_n1000000_l28_ar2.collapsed.gz,1000000,28,1000000,1000000,0,0,5937,0.005949,0.0,0.0,0.594,0.021,994063,99.406
AdapterRemoval,gen_n1000000_l29_ar2.collapsed.gz,1000000,29,1000000,1000000,0,0,6168,0.006182,0.0,0.0,0.617,0.021,993832,99.383
AdapterRemoval,gen_n1000000_l2_ar2.collapsed.gz,1000000,2,1000000,1000000,0,0,870,0.00087,0.0,0.0,0.087,0.043,999130,99.913
AdapterRemoval,gen_n1000000_l30_ar2.collapsed.gz,1000000,30,1000000,1000000,0,0,6329,0.006352,0.0,0.0,0.633,0.021,993671,99.367
AdapterRemoval,gen_n1000000_l31_ar2.collapsed.gz,1000000,31,1000000,1000000,0,0,6473,0.006495,0.0,0.0,0.647,0.021,993527,99.353
AdapterRemoval,gen_n1000000_l32_ar2.collapsed.gz,1000000,32,1000000,1000000,0,0,6676,0.006699,0.0,0.0,0.668,0.021,993324,99.332
AdapterRemoval,gen_n1000000_l33_ar2.collapsed.gz,1000000,33,1000000,1000000,0,0,6978,0.007007,0.0,0.0,0.698,0.021,993022,99.302
AdapterRemoval,gen_n1000000_l34_ar2.collapsed.gz,1000000,34,1000000,1000000,0,0,7157,0.007182,0.0,0.0,0.716,0.021,992843,99.284
AdapterRemoval,gen_n1000000_l35_ar2.collapsed.gz,1000000,35,1000000,1000000,0,0,7317,0.007352,0.0,0.0,0.732,0.021,992683,99.268
AdapterRemoval,gen_n1000000_l36_ar2.collapsed.gz,1000000,36,1000000,1000000,0,0,7529,0.007553,0.0,0.0,0.753,0.021,992471,99.247
AdapterRemoval,gen_n1000000_l37_ar2.collapsed.gz,1000000,37,1000000,1000000,0,0,7814,0.007853,0.0,0.0,0.781,0.021,992186,99.219
AdapterRemoval,gen_n1000000_l38_ar2.collapsed.gz,1000000,38,1000000,1000000,0,0,8040,0.008074,0.0,0.0,0.804,0.021,991960,99.196
AdapterRemoval,gen_n1000000_l39_ar2.collapsed.gz,1000000,39,1000000,1000000,0,0,8181,0.008214,0.0,0.0,0.818,0.021,991819,99.182
AdapterRemoval,gen_n1000000_l3_ar2.collapsed.gz,1000000,3,1000000,1000000,0,0,1315,0.001316,0.0,0.0,0.132,0.044,998685,99.869
AdapterRemoval,gen_n1000000_l40_ar2.collapsed.gz,1000000,40,1000000,1000000,0,0,8351,0.008386,0.0,0.0,0.835,0.021,991649,99.165
AdapterRemoval,gen_n1000000_l41_ar2.collapsed.gz,1000000,41,1000000,1000000,0,0,8564,0.008604,0.0,0.0,0.856,0.021,991436,99.144
AdapterRemoval,gen_n1000000_l42_ar2.collapsed.gz,1000000,42,1000000,1000000,0,0,8779,0.00882,0.0,0.0,0.878,0.021,991221,99.122
AdapterRemoval,gen_n1000000_l43_ar2.collapsed.gz,1000000,43,1000000,1000000,0,0,9034,0.009079,0.0,0.0,0.903,0.021,990966,99.097
AdapterRemoval,gen_n1000000_l44_ar2.collapsed.gz,1000000,44,1000000,1000000,0,0,9273,0.009302,0.0,0.0,0.927,0.021,990727,99.073
AdapterRemoval,gen_n1000000_l45_ar2.collapsed.gz,1000000,45,1000000,1000000,0,0,9614,0.009648,0.0,0.0,0.961,0.021,990386,99.039
AdapterRemoval,gen_n1000000_l46_ar2.collapsed.gz,1000000,46,1000000,1000000,0,0,9636,0.009682,0.0,0.0,0.964,0.021,990364,99.036
