predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,ClipAndMerge,10000000,120,-30,0,0,11071022,11071022,0.0
1,ClipAndMerge,10000000,120,-30,1,455231,1752985,2208216,1.0026335238464728
2,ClipAndMerge,10000000,120,-30,2,478905,819970,1298875,1.9976939455970668
3,ClipAndMerge,10000000,120,-30,3,3699561,3717473,7417034,2.999824469154018
4,ClipAndMerge,10000000,120,-30,4,10262369,6786917,17049286,4.000336580122144
5,ClipAndMerge,10000000,120,-30,5,5039452,2331889,7371341,4.998386284576041
6,ClipAndMerge,10000000,120,-30,6,9032775,3026732,12059507,6.003555856049328
7,ClipAndMerge,10000000,120,-30,7,15322815,3820570,19143385,6.998905725130083
8,ClipAndMerge,10000000,120,-30,8,761196754,143311020,904507774,8.001327167996932
