predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,ClipAndMerge,10000000,120,-10,0,0,10688,10688,0.0
3,ClipAndMerge,10000000,120,-10,3,35265,35263,70528,3.0104231135816732
4,ClipAndMerge,10000000,120,-10,4,767027,505808,1272835,4.00786414905142
5,ClipAndMerge,10000000,120,-10,5,1157826,535290,1693116,5.000975836258244
6,ClipAndMerge,10000000,120,-10,6,3529408,1184268,4713676,5.999097330721605
8,ClipAndMerge,10000000,120,-10,8,321908,59905,381813,8.043876387005483
11,ClipAndMerge,10000000,120,-10,11,66435,5794,72229,10.95733111290233
12,ClipAndMerge,10000000,120,-10,12,16191,1069,17260,12.080630861704126
13,ClipAndMerge,10000000,120,-10,13,236387,12742,249129,12.911866840241633
14,ClipAndMerge,10000000,120,-10,14,422917,17565,440482,13.992800118313813
15,ClipAndMerge,10000000,120,-10,15,1537718,50143,1587861,15.006021682298032
16,ClipAndMerge,10000000,120,-10,16,721542,18627,740169,15.991879773108904
17,ClipAndMerge,10000000,120,-10,17,1601081,32688,1633769,16.98802301979448
18,ClipAndMerge,10000000,120,-10,18,1647897,26545,1674442,17.998873791911258
19,ClipAndMerge,10000000,120,-10,19,2692719,34395,2727114,18.992079791014124
20,ClipAndMerge,10000000,120,-10,20,526935,5324,532259,19.998849668817783
21,ClipAndMerge,10000000,120,-10,21,3058048,24483,3082531,21.00042820270842
22,ClipAndMerge,10000000,120,-10,22,1852362,11623,1863985,22.05124175341135
23,ClipAndMerge,10000000,120,-10,23,10742903,53085,10795988,23.08290571462802
24,ClipAndMerge,10000000,120,-10,24,22295527,88419,22383946,24.0339105061839
25,ClipAndMerge,10000000,120,-10,25,8920348,28238,8948586,25.009204823285522
26,ClipAndMerge,10000000,120,-10,26,14728796,36888,14765684,26.023684606502016
27,ClipAndMerge,10000000,120,-10,27,23345564,46489,23392053,27.017181348641262
28,ClipAndMerge,10000000,120,-10,28,1038183124,1634493,1039817617,28.035741061693553
