program,type,qs1,qs2,new_nt,new_qs
AdapterRemoval,match,3,12,s1,16
AdapterRemoval,match,3,13,s1,17
AdapterRemoval,match,3,14,s1,18
AdapterRemoval,match,3,15,s1,19
AdapterRemoval,match,3,16,s1,20
AdapterRemoval,match,3,17,s1,21
AdapterRemoval,match,3,18,s1,22
AdapterRemoval,match,3,19,s1,23
AdapterRemoval,match,3,20,s1,24
AdapterRemoval,match,3,21,s1,25
AdapterRemoval,match,3,22,s1,26
AdapterRemoval,match,3,23,s1,27
AdapterRemoval,match,3,24,s1,28
AdapterRemoval,match,3,25,s1,29
AdapterRemoval,match,3,26,s1,30
AdapterRemoval,match,3,27,s1,31
AdapterRemoval,match,3,28,s1,32
AdapterRemoval,match,3,29,s1,33
AdapterRemoval,match,3,30,s1,34
AdapterRemoval,match,3,31,s1,35
AdapterRemoval,match,3,32,s1,36
AdapterRemoval,match,3,33,s1,37
AdapterRemoval,match,3,34,s1,38
AdapterRemoval,match,3,35,s1,39
AdapterRemoval,match,3,36,s1,40
AdapterRemoval,match,3,37,s1,41
AdapterRemoval,match,3,38,s1,42
AdapterRemoval,match,3,39,s1,43
AdapterRemoval,match,3,40,s1,44
AdapterRemoval,match,3,41,s1,45
AdapterRemoval,match,4,0,s1,4
AdapterRemoval,match,4,1,s1,4
AdapterRemoval,match,4,2,s1,5
AdapterRemoval,match,4,3,s1,7
AdapterRemoval,match,4,4,s1,8
AdapterRemoval,match,4,5,s1,10
AdapterRemoval,match,4,6,s1,11
AdapterRemoval,match,4,7,s1,12
AdapterRemoval,match,4,8,s1,13
AdapterRemoval,match,4,9,s1,15
AdapterRemoval,match,4,10,s1,16
AdapterRemoval,match,4,11,s1,17
AdapterRemoval,match,4,12,s1,18
AdapterRemoval,match,4,13,s1,19
AdapterRemoval,match,4,14,s1,20
AdapterRemoval,match,4,15,s1,21
AdapterRemoval,match,4,16,s1,22
AdapterRemoval,match,4,17,s1,23
AdapterRemoval,match,4,18,s1,24
AdapterRemoval,match,4,19,s1,25
AdapterRemoval,match,4,20,s1,26
AdapterRemoval,match,4,21,s1,27
AdapterRemoval,match,4,22,s1,28
AdapterRemoval,match,4,23,s1,29
AdapterRemoval,match,4,24,s1,30
AdapterRemoval,match,4,25,s1,31
AdapterRemoval,match,4,26,s1,32
AdapterRemoval,match,4,27,s1,33
AdapterRemoval,match,4,28,s1,34
AdapterRemoval,match,4,29,s1,35
AdapterRemoval,match,4,30,s1,36
AdapterRemoval,match,4,31,s1,37
AdapterRemoval,match,4,32,s1,38
AdapterRemoval,match,4,33,s1,39
AdapterRemoval,match,4,34,s1,40
AdapterRemoval,match,4,35,s1,41
AdapterRemoval,match,4,36,s1,42
AdapterRemoval,match,4,37,s1,43
AdapterRemoval,match,4,38,s1,44
AdapterRemoval,match,4,39,s1,45
AdapterRemoval,match,4,40,s1,46
AdapterRemoval,match,4,41,s1,47
AdapterRemoval,match,5,0,s1,5
AdapterRemoval,match,5,1,s1,5
AdapterRemoval,match,5,2,s1,6
AdapterRemoval,match,5,3,s1,8
AdapterRemoval,match,5,4,s1,10
AdapterRemoval,match,5,5,s1,11
AdapterRemoval,match,5,6,s1,13
AdapterRemoval,match,5,7,s1,14
AdapterRemoval,match,5,8,s1,15
AdapterRemoval,match,5,9,s1,16
AdapterRemoval,match,5,10,s1,17
AdapterRemoval,match,5,11,s1,18
AdapterRemoval,match,5,12,s1,19
AdapterRemoval,match,5,13,s1,20
AdapterRemoval,match,5,14,s1,21
AdapterRemoval,match,5,15,s1,23
AdapterRemoval,match,5,16,s1,24
AdapterRemoval,match,5,17,s1,25
AdapterRemoval,match,5,18,s1,26
AdapterRemoval,match,5,19,s1,27
AdapterRemoval,match,5,20,s1,28
AdapterRemoval,match,5,21,s1,29
AdapterRemoval,match,5,22,s1,30
AdapterRemoval,match,5,23,s1,31
AdapterRemoval,match,5,24,s1,32
AdapterRemoval,match,5,25,s1,33
AdapterRemoval,match,5,26,s1,34
AdapterRemoval,match,5,27,s1,35
AdapterRemoval,match,5,28,s1,36
AdapterRemoval,match,5,29,s1,37
AdapterRemoval,match,5,30,s1,38
AdapterRemoval,match,5,31,s1,39
AdapterRemoval,match,5,32,s1,40
AdapterRemoval,match,5,33,s1,41
AdapterRemoval,match,5,34,s1,42
AdapterRemoval,match,5,35,s1,43
AdapterRemoval,match,5,36,s1,44
AdapterRemoval,match,5,37,s1,45
AdapterRemoval,match,5,38,s1,46
AdapterRemoval,match,5,39,s1,47
AdapterRemoval,match,5,40,s1,48
AdapterRemoval,match,5,41,s1,49
AdapterRemoval,match,6,0,s1,6
AdapterRemoval,match,6,1,s1,6
AdapterRemoval,match,6,2,s1,7
AdapterRemoval,match,6,3,s1,9
AdapterRemoval,match,6,4,s1,11
AdapterRemoval,match,6,5,s1,13
AdapterRemoval,match,6,6,s1,14
AdapterRemoval,match,6,7,s1,15
AdapterRemoval,match,6,8,s1,16
AdapterRemoval,match,6,9,s1,17
AdapterRemoval,match,6,10,s1,19
AdapterRemoval,match,6,11,s1,20
AdapterRemoval,match,6,12,s1,21
AdapterRemoval,match,6,13,s1,22
AdapterRemoval,match,6,14,s1,23
AdapterRemoval,match,6,15,s1,24
AdapterRemoval,match,6,16,s1,25
AdapterRemoval,match,6,17,s1,26
AdapterRemoval,match,6,18,s1,27
AdapterRemoval,match,6,19,s1,28
AdapterRemoval,match,6,20,s1,29
AdapterRemoval,match,6,21,s1,30
AdapterRemoval,match,6,22,s1,31
AdapterRemoval,match,6,23,s1,32
AdapterRemoval,match,6,24,s1,33
AdapterRemoval,match,6,25,s1,34
AdapterRemoval,match,6,26,s1,35
AdapterRemoval,match,6,27,s1,36
AdapterRemoval,match,6,28,s1,37
AdapterRemoval,match,6,29,s1,38
AdapterRemoval,match,6,30,s1,39
AdapterRemoval,match,6,31,s1,40
AdapterRemoval,match,6,32,s1,41
AdapterRemoval,match,6,33,s1,42
AdapterRemoval,match,6,34,s1,43
AdapterRemoval,match,6,35,s1,44
AdapterRemoval,match,6,36,s1,45
AdapterRemoval,match,6,37,s1,46
AdapterRemoval,match,6,38,s1,47
AdapterRemoval,match,6,39,s1,48
AdapterRemoval,match,6,40,s1,49
AdapterRemoval,match,6,41,s1,50
AdapterRemoval,match,7,0,s1,7
AdapterRemoval,match,7,1,s1,7
AdapterRemoval,match,7,2,s1,9
AdapterRemoval,match,7,3,s1,11
AdapterRemoval,match,7,4,s1,12
AdapterRemoval,match,7,5,s1,14
AdapterRemoval,match,7,6,s1,15
AdapterRemoval,match,7,7,s1,16
AdapterRemoval,match,7,8,s1,18
AdapterRemoval,match,7,9,s1,19
AdapterRemoval,match,7,10,s1,20
AdapterRemoval,match,7,11,s1,21
AdapterRemoval,match,7,12,s1,22
AdapterRemoval,match,7,13,s1,23
AdapterRemoval,match,7,14,s1,24
AdapterRemoval,match,7,15,s1,25
AdapterRemoval,match,7,16,s1,26
AdapterRemoval,match,7,17,s1,27
AdapterRemoval,match,7,18,s1,28
AdapterRemoval,match,7,19,s1,29
AdapterRemoval,match,7,20,s1,30
AdapterRemoval,match,7,21,s1,31
AdapterRemoval,match,7,22,s1,32
AdapterRemoval,match,7,23,s1,33
AdapterRemoval,match,7,24,s1,34
AdapterRemoval,match,7,25,s1,35
AdapterRemoval,match,7,26,s1,36
AdapterRemoval,match,7,27,s1,37
AdapterRemoval,match,7,28,s1,38
AdapterRemoval,match,7,29,s1,39
AdapterRemoval,match,7,30,s1,40
AdapterRemoval,match,7,31,s1,41
AdapterRemoval,match,7,32,s1,42
AdapterRemoval,match,7,33,s1,43
AdapterRemoval,match,7,34,s1,44
AdapterRemoval,match,7,35,s1,45
AdapterRemoval,match,7,36,s1,46
AdapterRemoval,match,7,37,s1,47
AdapterRemoval,match,7,38,s1,48
AdapterRemoval,match,7,39,s1,49
AdapterRemoval,match,7,40,s1,50
AdapterRemoval,match,7,41,s1,51
AdapterRemoval,match,8,0,s1,8
AdapterRemoval,match,8,1,s1,8
AdapterRemoval,match,8,2,s1,10
AdapterRemoval,match,8,3,s1,12
AdapterRemoval,match,8,4,s1,13
AdapterRemoval,match,8,5,s1,15
AdapterRemoval,match,8,6,s1,16
AdapterRemoval,match,8,7,s1,18
AdapterRemoval,match,8,8,s1,19
AdapterRemoval,match,8,9,s1,20
AdapterRemoval,match,8,10,s1,21
AdapterRemoval,match,8,11,s1,22
AdapterRemoval,match,8,12,s1,23
AdapterRemoval,match,8,13,s1,24
AdapterRemoval,match,8,14,s1,25
AdapterRemoval,match,8,15,s1,26
AdapterRemoval,match,8,16,s1,27
AdapterRemoval,match,8,17,s1,28
AdapterRemoval,match,8,18,s1,29
AdapterRemoval,match,8,19,s1,30
AdapterRemoval,match,8,20,s1,31
